"","month(NEWDATE)","year(NEWDATE)","Salinity.x","Reference"
"324",11,2003,0.3,1
"325",12,2003,0.3,2
"326",2,2004,0.3,1
"327",7,2004,0.3,1
"328",8,2004,0.3,1
"329",9,2004,0.3,1
"330",12,2004,0.3,3
"331",1,2005,0.3,5
"332",2,2005,0.3,1
"333",5,2005,0.3,2
"334",7,2005,0.3,1
"335",9,2005,0.3,4
"336",10,2005,0.3,4
"337",11,2005,0.3,3
"338",12,2005,0.3,1
"339",2,2006,0.3,2
"340",3,2006,0.3,2
"341",5,2006,0.3,4
"342",7,2006,0.3,7
"343",8,2006,0.3,1
"344",9,2006,0.3,13
"345",10,2006,0.3,9
"346",11,2006,0.3,2
"347",1,2007,0.3,1
"348",3,2007,0.3,4
"349",8,2007,0.3,2
"350",10,2007,0.3,11
"351",11,2007,0.3,2
"352",12,2007,0.3,2
"353",2,2008,0.3,3
"354",3,2008,0.3,2
"355",5,2008,0.3,2
"356",6,2008,0.3,4
"357",8,2008,0.3,3
"358",9,2008,0.3,1
"359",1,2009,0.3,4
"360",2,2009,0.3,1
"361",3,2009,0.3,12
"362",4,2009,0.3,1
"363",5,2009,0.3,2
"364",7,2009,0.3,2
"365",10,2009,0.3,6
"366",1,2010,0.3,7
"367",2,2010,0.3,3
"368",6,2010,0.3,2
"369",7,2010,0.3,6
"370",9,2010,0.3,1
"371",11,2010,0.3,3
"372",12,2010,0.3,1
"373",1,2011,0.3,2
"374",2,2011,0.3,5
"375",4,2011,0.3,3
"376",6,2011,0.3,12
"377",7,2011,0.3,1
"378",10,2011,0.3,1
"379",11,2011,0.3,1
"380",12,2011,0.3,1
"381",2,2012,0.3,2
"382",4,2012,0.3,6
"383",6,2012,0.3,5
"384",1,2013,0.3,3
"385",3,2013,0.3,4
"386",4,2013,0.3,2
"387",5,2013,0.3,1
"388",6,2013,0.3,1
"389",11,2013,0.3,1
"390",12,2013,0.3,1
"391",2,2014,0.3,2
"392",3,2014,0.3,3
"393",4,2014,0.3,1
"394",6,2014,0.3,1
"395",7,2014,0.3,4
"396",8,2014,0.3,11
"397",9,2014,0.3,8
"398",10,2014,0.3,1
"399",11,2014,0.3,2
"400",12,2014,0.3,1
"401",1,2015,0.3,1
"402",3,2015,0.3,2
"403",4,2015,0.3,1
"404",5,2015,0.3,4
"405",6,2015,0.3,4
"406",8,2015,0.3,4
"407",9,2015,0.3,5
"408",11,2015,0.3,4
"409",1,2016,0.3,3
"410",2,2016,0.3,1
"411",6,2016,0.3,4
"412",7,2016,0.3,7
"413",8,2016,0.3,1
"414",10,2016,0.3,3
"415",11,2016,0.3,3
"416",12,2016,0.3,3
"417",3,1997,0.4,1
"418",11,1997,0.4,1
"419",4,1998,0.4,1
"420",5,1998,0.4,1
"421",6,1998,0.4,1
"422",8,1998,0.4,1
"423",3,1999,0.4,1
"424",11,1999,0.4,1
"425",3,2000,0.4,1
"426",4,2000,0.4,2
"427",2,2001,0.4,5
"428",4,2001,0.4,3
"429",6,2001,0.4,3
"430",7,2001,0.4,2
"431",9,2001,0.4,1
"432",11,2001,0.4,6
"433",12,2001,0.4,2
"434",3,2002,0.4,1
"435",6,2002,0.4,1
"436",10,2003,0.4,4
"437",12,2003,0.4,1
"438",1,2004,0.4,1
"439",2,2004,0.4,1
"440",4,2004,0.4,1
"441",5,2004,0.4,1
"442",7,2004,0.4,4
"443",9,2004,0.4,1
"444",10,2004,0.4,1
"445",11,2004,0.4,2
"446",12,2004,0.4,2
"447",1,2005,0.4,2
"448",2,2005,0.4,2
"449",4,2005,0.4,2
"450",7,2005,0.4,3
"451",8,2005,0.4,3
"452",9,2005,0.4,3
"453",2,2006,0.4,4
"454",5,2006,0.4,5
"455",8,2006,0.4,5
"456",9,2006,0.4,2
"457",10,2006,0.4,1
"458",6,2007,0.4,1
"459",8,2007,0.4,5
"460",10,2007,0.4,4
"461",11,2007,0.4,1
"462",3,2008,0.4,3
"463",8,2008,0.4,7
"464",9,2008,0.4,1
"465",10,2008,0.4,1
"466",11,2008,0.4,5
"467",2,2009,0.4,4
"468",5,2009,0.4,3
"469",6,2009,0.4,2
"470",7,2009,0.4,3
"471",8,2009,0.4,1
"472",10,2009,0.4,6
"473",1,2010,0.4,2
"474",4,2010,0.4,3
"475",6,2010,0.4,3
"476",9,2010,0.4,2
"477",10,2010,0.4,3
"478",12,2010,0.4,7
"479",1,2011,0.4,1
"480",2,2011,0.4,7
"481",5,2011,0.4,1
"482",6,2011,0.4,2
"483",8,2011,0.4,1
"484",1,2012,0.4,4
"485",3,2012,0.4,7
"486",4,2012,0.4,1
"487",7,2012,0.4,2
"488",9,2012,0.4,4
"489",10,2012,0.4,2
"490",11,2012,0.4,1
"491",2,2013,0.4,1
"492",3,2013,0.4,1
"493",5,2013,0.4,1
"494",12,2013,0.4,5
