"","Reference","Depth","Beg_end","Temperature","Conductivity","pH","Salinity","DissolvedO2","Flag"
"17554","CKM2008030608",0.2,"B",17.5,0.1,6.9,0.1,5.5,NA
"17555","CKM2008030608",0.4,"B",17.5,0.1,6.9,0.1,5,NA
"17556","CKM2008030609",0.2,"B",17.2,0.1,6.9,0.1,6.1,NA
"17557","CKM2008030609",1,"B",17.1,0.1,6.8,0.1,5,NA
"17558","CKM2008030609",2,"B",17.1,0.1,6.8,0.1,4.9,NA
"17559","CKM2008030609",2.8,"B",17,0.1,6.8,0.1,4.8,NA
"17560","CKM2008030701",0.2,"B",16.9,16,7.4,9.4,5.7,NA
"17561","CKM2008030701",0.4,"B",16.9,16,7.4,9.4,5.6,NA
"17562","CKM2008030702",0.2,"B",16.9,15.8,7.4,9.3,5.6,NA
"17563","CKM2008030703",0.2,"B",17.6,15.2,7.4,8.9,5.7,NA
"17564","CKM2008030703",0.6,"B",17.6,15.5,7.4,9.1,5.6,NA
"17565","CKM2008030704",0.2,"B",18.5,15.8,7.4,9.2,5.4,NA
"17566","CKM2008030704",0.4,"B",18.3,16.2,7.4,9.6,5.4,NA
"17567","CKM2008030705",0.2,"B",18.6,0.8,7.4,0.4,5.4,NA
"17568","CKM2008030705",0.7,"B",17.2,2.7,7.2,1.3,5.3,NA
"17569","CKM2008030706",0.2,"B",18.7,0.5,7.2,0.2,5.4,NA
"17570","CKM2008030706",1,"B",17.2,19.4,6.8,11.6,5,NA
"17571","CKM2008030706",1.4,"B",17.2,21.8,6.9,13.2,4.8,NA
"17572","CKM2008030707",0.2,"B",19.5,0.6,7.4,0.3,6,NA
"17573","CKM2008030707",0.4,"B",19.6,0.6,7.3,0.3,5.4,NA
"17574","CKM2008030708",0.2,"B",18.9,4.5,7.2,2.4,4.6,NA
"17575","CKM2008030708",0.7,"B",18.5,4.6,7.2,2.5,4.5,NA
"17576","CKM2008040101",0.2,"B",21.7,42.1,7.7,27.1,5,NA
"17577","CKM2008040101",0.6,"B",21.7,42.1,7.7,27.1,5,NA
"17578","CKM2008040102",0.2,"B",21.9,41.8,7.8,26.9,4.8,NA
"17579","CKM2008040102",0.8,"B",21.9,41.8,7.8,26.8,5,NA
"17580","CKM2008040103",0.2,"B",22.6,41.1,7.6,26.4,4.5,NA
"17581","CKM2008040103",0.4,"B",22.6,41.1,7.6,26.3,4.4,NA
"17582","CKM2008040104",0.2,"B",23,42.5,7.6,27.4,4.6,NA
"17583","CKM2008040104",0.4,"B",22.9,42.8,7.6,27.5,4.4,NA
"17584","CKM2008040105",0.2,"B",23,42.5,7.6,27.4,4.8,NA
"17585","CKM2008040105",0.3,"B",23,42.5,7.5,27.4,4.7,NA
"17586","CKM2008040106",0.2,"B",22.5,45.8,7.6,29.7,4.8,NA
"17587","CKM2008040106",0.6,"B",22,46.9,7.6,30.6,4.9,NA
"17588","CKM2008040107",0.2,"B",22.9,47.2,7.7,30.8,5.3,NA
"17589","CKM2008040107",0.6,"B",22.7,47.3,7.7,30.8,5.3,NA
"17590","CKM2008040108",0.2,"B",23.7,43.3,7.7,27.9,5.4,NA
"17591","CKM2008040108",1,"B",21.6,44.9,7.6,29.1,5,NA
"17592","CKM2008040201",0.2,"B",19.6,0.2,7.4,0.1,4.3,NA
"17593","CKM2008040201",0.3,"B",19.6,0.2,7.3,0.1,4.2,NA
"17594","CKM2008040202",0.2,"B",20.4,0.2,7.3,0.1,4.6,NA
"17595","CKM2008040202",0.5,"B",19.8,0.2,7.2,0.1,4.4,NA
"17596","CKM2008040203",0.2,"B",19.8,0.2,7.1,0.1,4.3,NA
"17597","CKM2008040203",1,"B",19.5,0.2,7.1,0.1,4.3,NA
"17598","CKM2008040203",2,"B",19.5,0.2,7.1,0.1,4.3,NA
"17599","CKM2008040203",3,"B",19.5,0.2,7,0.1,4.3,NA
"17600","CKM2008040203",4,"B",19.5,0.2,7,0.1,4.2,NA
"17601","CKM2008040203",5,"B",19.5,0.2,7,0.1,4.2,NA
"17602","CKM2008040203",5.8,"B",19.5,0.2,7,0.1,4.2,NA
"17603","CKM2008040204",0.2,"B",19.8,0.2,7.2,0.1,4.5,NA
"17604","CKM2008040204",1,"B",19.7,0.2,7.1,0.1,4.4,NA
"17605","CKM2008040204",2,"B",19.5,0.2,7.1,0.1,4.4,NA
"17606","CKM2008040204",3,"B",19.5,0.2,7.1,0.1,4.3,NA
"17607","CKM2008040204",4,"B",19.4,0.2,7.1,0.1,4.3,NA
"17608","CKM2008040204",5,"B",19.5,0.2,7.1,0.1,4.3,NA
"17609","CKM2008040204",6,"B",19.5,0.2,7,0.1,4.3,NA
"17610","CKM2008040204",6.2,"B",19.5,0.2,7,0.1,4.3,NA
"17611","CKM2008040205",0.2,"B",19.9,0.2,7,0.1,4.4,NA
"17612","CKM2008040205",1,"B",19.8,0.2,7,0.1,4.4,NA
"17613","CKM2008040205",2,"B",19.7,0.2,7,0.1,4.3,NA
"17614","CKM2008040205",2.7,"B",19.6,0.2,7,0.1,4.3,NA
"17615","CKM2008040206",0.2,"B",20.6,0.2,7.1,0.1,4.5,NA
"17616","CKM2008040206",1,"B",20.4,0.2,7.1,0.1,4.5,NA
"17617","CKM2008040206",2,"B",19.7,0.2,7.1,0.1,4.4,NA
"17618","CKM2008040206",2.7,"B",19.6,0.2,7,0.1,4.3,NA
"17619","CKM2008040207",0.2,"B",20.3,0.2,7,0.1,4.3,NA
"17620","CKM2008040207",0.7,"B",20.3,0.2,7,0.1,4.3,NA
"17621","CKM2008040208",0.2,"B",21.2,5.2,7.2,2.9,4.9,NA
"17622","CKM2008040208",0.6,"B",21.1,5.9,7.1,3.8,4.9,NA
"17623","CKM2008040209",0.2,"B",21.5,8.4,7.2,4.6,5.1,NA
"17624","CKM2008040209",0.3,"B",21.4,8.4,7.2,4.6,5,NA
"17625","CKM2008040210",0.2,"B",21.3,1.8,7.1,0.9,4.4,NA
"17626","CKM2008040210",1,"B",19.7,12,6.9,6.9,4.5,NA
"17627","CKM2008040210",2,"B",19.5,17.5,6.9,10.3,4.5,NA
"17628","CKM2008040210",2.5,"B",19.5,18.7,7,10.4,4.1,NA
"17629","CKM2008040211",0.2,"B",21.3,1.7,7.1,0.9,4.5,NA
"17630","CKM2008040211",0.8,"B",20.7,5.6,7,3,4.5,NA
"17631","CKM2008040212",0.2,"B",22.1,13.1,7.2,7.7,5.1,NA
"17632","CKM2008040212",0.6,"B",20.6,22.2,7.2,13.7,5,NA
"17633","CKM2008040213",0.2,"B",24.7,1.4,7.7,0.7,4.5,NA
"17634","CKM2008040213",0.8,"B",24.6,1.4,7.6,0.7,4.3,NA
"17635","CKM2008040214",0.2,"B",25.6,16.7,7.5,9.8,5.4,NA
"17636","CKM2008040215",0.2,"B",23.1,2.9,7.5,1.5,4.4,NA
"17637","CKM2008040215",1,"B",22.4,4.6,7.3,2.5,4.2,NA
"17638","CKM2008040301",0.2,"B",22.7,23.4,7.5,14.2,5,NA
"17639","CKM2008040301",0.4,"B",22.8,28,7.5,17.3,4.9,NA
"17640","CKM2008040302",0.2,"B",23.3,25.4,7.5,15.4,5.1,NA
"17641","CKM2008040302",0.5,"B",22.9,31.5,7.5,19.7,5,NA
"17642","CKM2008040303",0.2,"B",23.3,31.2,7.2,19.4,4.2,NA
"17643","CKM2008040303",0.5,"B",23.3,31.2,7.2,19.4,4.1,NA
"17644","CKM2008040304",0.2,"B",22.3,22.7,7.4,13.8,4.2,NA
"17645","CKM2008040304",1,"B",21.9,27.2,7.4,16.7,4.3,NA
"17646","CKM2008040304",1.3,"B",21.8,28.9,7.4,17.9,4.3,NA
"17647","CKM2008040305",0.2,"B",23.2,3.9,7.5,2.1,4.9,NA
"17648","CKM2008040305",0.8,"B",23.2,3.9,7.5,2.1,4.9,NA
"17649","CKM2008040306",0.2,"B",23.6,8.1,7.5,4.5,5,NA
"17650","CKM2008040306",1,"B",20.7,13.7,7.2,8.7,4.7,NA
"17651","CKM2008040307",0.2,"B",24.8,10.4,7.5,5.9,5,NA
"17652","CKM2008040307",1,"B",22.4,15.5,7.3,9.2,4.7,NA
"17653","CKM2008040307",1.4,"B",21.5,19.9,7.2,12,4.2,NA
"17654","CKM2008040308",0.2,"B",24.9,6.8,7.4,3.8,4.5,NA
"17655","CKM2008040308",0.6,"B",22.4,15,7.2,8,4,NA
"17656","CKM2008040309",0.2,"B",24.6,5.9,7.4,3.2,4.6,NA
"17657","CKM2008040309",0.5,"B",23.4,10.5,7.3,5.9,4.3,NA
"17658","CKM2008040310",0.2,"B",22.5,4.9,7.4,2.7,4.2,NA
"17659","CKM2008040310",0.8,"B",22.6,5,7.3,2.7,4.1,NA
"17660","CKM2008040401",0.2,"B",24.3,20.5,7.4,12.2,8.1,NA
"17661","CKM2008040401",0.3,"B",24.3,20.5,7.4,12.2,4.8,NA
"17662","CKM2008040402",0.2,"B",24.2,21.7,7.3,13,3.7,NA
"17663","CKM2008040402",0.5,"B",24.2,21.7,7.3,13,3.7,NA
"17664","CKM2008040403",0.2,"B",24.7,24.8,7.5,15.1,4.6,NA
"17665","CKM2008040403",1,"B",24.7,24.9,7.5,15.1,4.1,NA
"17666","CKM2008040404",0.2,"B",25.2,28.5,7.5,17.5,4.2,NA
"17667","CKM2008040404",0.4,"B",25.2,26.5,7.5,16.2,3.7,NA
"17668","CKM2008040405",0.2,"B",25,40.6,7.7,25.9,5.2,NA
"17669","CKM2008040405",1,"B",24.4,41.8,7.7,26.9,4.4,NA
"17670","CKM2008040405",1.1,"B",24.3,41.7,7.6,26.6,4.2,NA
"17671","CKM2008040406",0.2,"B",25.9,39.9,7.8,25.5,5.2,NA
"17672","CKM2008040406",0.3,"B",26,40,7.8,25.5,5.2,NA
"17673","CKM2008040407",0.2,"B",26,40.4,7.8,25.8,5.2,NA
"17674","CKM2008040407",0.7,"B",26,40.4,7.8,25.8,5.2,NA
"17675","CKM2008040408",0.2,"B",26.6,39.5,7.8,25.2,5.2,NA
"17676","CKM2008040408",0.6,"B",26.4,39.6,7.7,25.2,4.6,NA
"17677","CKM2008040409",0.2,"B",27.1,39.1,7.7,24.9,4.6,NA
"17678","CKM2008040409",0.4,"B",27.1,39.1,7.7,24.9,4.6,NA
"17679","CKM2008040501",0.2,"B",21.8,44.6,7.7,28.9,4,NA
"17680","CKM2008040501",1,"B",21.8,44.6,7.7,28.9,4,NA
"17681","CKM2008040501",1.8,"B",21.8,44.6,7.7,28.9,4,NA
"17682","CKM2008040502",0.2,"B",22.6,47,7.8,30.6,4.2,NA
"17683","CKM2008040502",0.7,"B",22.6,47,7.8,30.6,4.2,NA
"17684","CKM2008040503",0.2,"B",21.6,43.6,7.6,28.1,3.7,NA
"17685","CKM2008040503",0.8,"B",21.6,43.6,7.6,28.2,3.7,NA
"17686","CKM2008040504",0.2,"B",22.3,41.8,7.7,26.8,4.1,NA
"17687","CKM2008040504",0.4,"B",22.3,41.8,7.7,26.8,4.1,NA
"17688","CKM2008040505",0.2,"B",22.8,41.4,7.6,26.5,4.2,NA
"17689","CKM2008040505",1,"B",22.4,41.4,7.6,26.5,4.2,NA
"17690","CKM2008040506",0.2,"B",23.2,41.5,7.7,26.7,4.4,NA
"17691","CKM2008040506",0.8,"B",23,41.5,7.7,26.6,4.3,NA
"17692","CKM2008040507",0.2,"B",24,41.2,7.8,26.4,4.6,NA
"17693","CKM2008040507",0.6,"B",24,41.2,7.8,26.4,4.6,NA
"17694","CKM2008040508",0.2,"B",23.9,48.7,7.9,31.8,4.8,NA
"17695","CKM2008040508",0.8,"B",23.9,48.6,7.9,31.8,4.8,NA
"17696","CKM2008040509",0.2,"B",25.1,45.6,7.9,29.6,5.2,NA
"17697","CKM2008040509",1,"B",24.2,46,7.9,29.9,5,NA
"17698","CKM2008040601",0.2,"B",22.1,46.4,7.7,30.2,5.5,NA
"17699","CKM2008040602",0.2,"B",21.5,48,7.8,31.3,5.6,NA
"17700","CKM2008040602",0.3,"B",21.5,48,7.8,31.3,5.6,NA
"17701","CKM2008040603",0.2,"B",22.1,49.2,7.8,32.2,5.4,NA
"17702","CKM2008040603",1,"B",22.1,49.2,7.8,32.2,5.3,NA
"17703","CKM2008040603",1.6,"B",22.1,49.2,7.8,32.2,5.3,NA
"17704","CKM2008040604",0.2,"B",22,53.9,7.8,35.7,5.2,NA
"17705","CKM2008040604",1,"B",22,53.9,7.8,35.7,5.2,NA
"17706","CKM2008040604",2,"B",22,53.9,7.8,35.7,5.2,NA
"17707","CKM2008040604",3,"B",22,54,7.8,35.7,5.2,NA
"17708","CKM2008040604",4,"B",22,54,7.8,35.7,5.2,NA
"17709","CKM2008040604",5,"B",22,54,7.8,35.7,5.1,NA
"17710","CKM2008040604",5.8,"B",22,54,7.8,35.7,5.1,NA
"17711","CKM2008040605",0.2,"B",23,49.7,7.9,32.6,5.3,NA
"17712","CKM2008040605",1,"B",23,49.7,7.9,32.6,5.3,NA
"17713","CKM2008040605",2,"B",22.9,50,7.9,32.7,5.2,NA
"17714","CKM2008040605",3,"B",22.9,50.5,7.9,33.1,5.2,NA
"17715","CKM2008040605",4,"B",22.8,50.6,7.9,33.2,5.2,NA
"17716","CKM2008040605",4.7,"B",22.8,50.6,7.9,33.2,5.1,NA
"17717","CKM2008040606",0.2,"B",22.9,46,7.9,29.9,5.4,NA
"17718","CKM2008040606",1,"B",22.5,46.2,7.9,30,5.3,NA
"17719","CKM2008040606",2,"B",22.5,46.3,7.9,30.1,5.2,NA
"17720","CKM2008040606",2.1,"B",22.5,46.3,7.9,30.1,5.2,NA
"17721","CKM2008040607",0.2,"B",22.7,46.3,7.9,30.1,5.5,NA
"17722","CKM2008040607",1,"B",22.5,46.3,7.9,30.1,5.5,NA
"17723","CKM2008040607",2,"B",22.5,46.3,7.9,30.1,5.5,NA
"17724","CKM2008040607",2.6,"B",22.5,46.4,7.9,30.1,5.5,NA
"17725","CKM2008040701",0.2,"B",22.7,47.3,7.9,30.8,4.9,NA
"17726","CKM2008040701",0.6,"B",22.7,47.3,7.8,30.8,4.9,NA
"17727","CKM2008040702",0.2,"B",22.7,46.8,7.8,30.4,4.8,NA
"17728","CKM2008040702",0.7,"B",22.7,46.8,7.8,30.4,4.8,NA
"17729","CKM2008040703",0.2,"B",22.4,33.2,7.8,20.8,5.3,NA
"17730","CKM2008040703",0.5,"B",22.4,33.2,7.8,20.8,5.2,NA
"17731","CKM2008040704",0.2,"B",22.9,52.2,7.9,34.4,5.2,NA
"17732","CKM2008040704",1,"B",22.9,52.2,7.9,34.4,5.2,NA
"17733","CKM2008040704",2,"B",22.9,52.2,7.9,34.4,5.2,NA
"17734","CKM2008040704",3,"B",22.8,52.2,7.9,34.4,5.2,NA
"17735","CKM2008040704",3.4,"B",22.9,52.2,7.9,34.4,5.2,NA
"17736","CKM2008040705",0.2,"B",22.8,53,7.9,35,5.3,NA
"17737","CKM2008040705",1,"B",22.8,53,7.9,35,5.2,NA
"17738","CKM2008040705",2,"B",22.7,53,7.9,35,5.2,NA
"17739","CKM2008040705",3,"B",22.7,53,7.9,35,5.2,NA
"17740","CKM2008040705",4,"B",22.7,53,7.9,35,5.2,NA
"17741","CKM2008040705",4.6,"B",22.7,53,7.9,35,5.2,NA
"17742","CKM2008040706",0.2,"B",23.6,41,7.9,26.3,5.7,NA
"17743","CKM2008040706",1,"B",23.6,41,7.9,26.3,5.7,NA
"17744","CKM2008040706",2,"B",23.6,41,7.9,26.3,5.7,NA
"17745","CKM2008040706",2.3,"B",23.6,41,7.9,26.3,5.7,NA
"17746","CKM2008040707",0.2,"B",23.5,46,7.9,29.8,6.1,NA
"17747","CKM2008040707",1,"B",23.3,45.9,7.9,29.8,5.7,NA
"17748","CKM2008040707",2,"B",23.2,46,7.9,29.9,5.6,NA
"17749","CKM2008040707",2.2,"B",23.2,46,7.9,29.9,5.9,NA
"17750","CKM2008040708",0.2,"B",24.2,41.2,7.8,26.4,5.7,NA
"17751","CKM2008040708",1,"B",23.6,41.3,7.7,26.5,4.8,NA
"17752","CKM2008040708",1.6,"B",23.2,41.6,7.7,26.7,4.2,NA
"17753","CKM2008050101",0.2,"B",21.8,44.3,7.7,28.7,6.2,NA
"17754","CKM2008050102",0.2,"B",22.5,46.1,7.8,30,6.4,NA
"17755","CKM2008050102",0.9,"B",22.4,46.1,7.8,30,6.4,NA
"17756","CKM2008050103",0.2,"B",22.7,44.5,7.7,28.8,7,NA
"17757","CKM2008050103",1,"B",21.8,44.8,7.7,29,6.7,NA
"17758","CKM2008050103",1.3,"B",21.6,45.1,7.7,29.3,6.2,NA
"17759","CKM2008050104",0.2,"B",23.4,46.4,8,30.2,7.3,NA
"17760","CKM2008050104",0.8,"B",22.9,46.7,7.9,30.5,7.5,NA
"17761","CKM2008050105",0.2,"B",24.2,46.7,8,30.4,8,NA
"17762","CKM2008050105",0.4,"B",24.2,46.9,8,30.5,8,NA
"17763","CKM2008050106",0.2,"B",23.4,44.8,7.9,28.9,7.7,NA
"17764","CKM2008050106",0.8,"B",23.3,44.9,7.9,29.1,7.8,NA
"17765","CKM2008050107",0.2,"B",24.9,45.3,7.9,29.3,8.3,NA
"17766","CKM2008050107",0.3,"B",24.9,45.3,7.9,29.3,8.2,NA
"17767","CKM2008050108",0.2,"B",24.6,42.6,8,27.4,8.9,NA
"17768","CKM2008050108",0.6,"B",24.4,42.6,8,27.4,8.6,NA
"17769","CKM2008050109",0.2,"B",25.3,45.7,8,29.6,8.1,NA
"17770","CKM2008050201",0.2,"B",21.9,45.2,7.6,29.3,6.8,NA
"17771","CKM2008050201",1,"B",21.9,45.3,7.7,29.4,6.7,NA
"17772","CKM2008050201",1.6,"B",21.9,45.4,7.7,29.5,6.7,NA
"17773","CKM2008050202",0.2,"B",21.7,42.3,7.7,27.2,6.6,NA
"17774","CKM2008050202",0.8,"B",21.7,42.5,7.7,27.3,6.6,NA
"17775","CKM2008050203",0.2,"B",22.4,42.9,7.7,27.7,6.5,NA
"17776","CKM2008050203",0.9,"B",22.4,42.9,7.7,27.6,6.4,NA
"17777","CKM2008050204",0.2,"B",22.8,43.2,7.8,27.9,6.9,NA
"17778","CKM2008050204",0.8,"B",22.8,43.3,7.8,27.9,6.9,NA
"17779","CKM2008050301",0.2,"B",24.9,33,7.9,20.6,8.2,NA
"17780","CKM2008050301",0.6,"B",24.4,33.5,7.8,21.4,6.7,NA
"17781","CKM2008050302",0.2,"B",24.4,36.8,7.4,23.3,4.5,NA
"17782","CKM2008050302",0.4,"B",24.3,36.7,7.3,23.2,4.4,NA
"17783","CKM2008050303",0.2,"B",25.4,28,7.7,17.2,6.5,NA
"17784","CKM2008050303",0.8,"B",25.4,28,7.7,17.2,6.5,NA
"17785","CKM2008050304",0.2,"B",25.5,29.6,7.5,18.3,5.5,NA
"17786","CKM2008050304",1,"B",25.5,29.6,7.5,18.3,5.5,NA
"17787","CKM2008050305",0.2,"B",25.4,19.5,7.7,11.6,7,NA
"17788","CKM2008050305",0.8,"B",25.4,19.6,7.7,11.7,7,NA
"17789","CKM2008050306",0.2,"B",25.4,9.6,7.7,5.4,6.8,NA
"17790","CKM2008050306",0.7,"B",25.2,9.6,7.7,5.4,6.6,NA
"17791","CKM2008050307",0.2,"B",25.4,13.5,7.6,7.7,6.1,NA
"17792","CKM2008050307",1,"B",25.4,13.8,7.6,7.9,6.1,NA
"17793","CKM2008050307",1.6,"B",25.4,13.9,7.6,8,6.2,NA
"17794","CKM2008050308",0.2,"B",25.6,25.3,7.7,15.3,6.3,NA
"17795","CKM2008050308",1,"B",25,28.2,7.7,17.4,6.2,NA
"17796","CKM2008050308",2,"B",24.9,29.8,7.7,18.5,6,NA
"17797","CKM2008050308",2.3,"B",24.9,30.2,7.6,18.7,5.8,NA
"17798","CKM2008050309",0.2,"B",26,26.4,7.8,16.1,6.8,NA
"17799","CKM2008050309",0.8,"B",25.7,29.2,7.7,18,6.4,NA
"17800","CKM2008050310",0.2,"B",26.5,12.5,7.7,7.2,6.4,NA
"17801","CKM2008050310",0.8,"B",25.4,17.4,7.6,10.3,5.9,NA
"17802","CKM2008050401",0.2,"B",24.3,10.3,7.7,5.9,6.5,NA
"17803","CKM2008050401",0.8,"B",24.1,13.9,7.7,8.1,6.4,NA
"17804","CKM2008050402",0.2,"B",25,37,7.9,23.4,6,NA
"17805","CKM2008050402",0.7,"B",25,37.1,7.9,23.5,6,NA
"17806","CKM2008050403",0.2,"B",25.2,35.8,8,22.5,7.4,NA
"17807","CKM2008050403",1,"B",24.8,37.7,8,23.9,7.2,NA
"17808","CKM2008050403",2,"B",24.4,41.3,8,26.4,6.7,NA
"17809","CKM2008050403",2.8,"B",24.5,42,7.9,26.9,6.2,NA
"17810","CKM2008050404",0.2,"B",24.8,44,8,28.4,7.2,NA
"17811","CKM2008050404",1,"B",24.6,44.7,8,28.9,7.1,NA
"17812","CKM2008050404",2,"B",24.4,45.4,8,29.4,6.8,NA
"17813","CKM2008050404",3,"B",24,46.6,8,30.2,6.4,NA
"17814","CKM2008050404",3.8,"B",24,46.7,8,30.3,6.2,NA
"17815","CKM2008050405",0.2,"B",24.9,43.7,8,28.2,7.1,NA
"17816","CKM2008050405",1,"B",24.6,44.3,7.9,28.6,7,NA
"17817","CKM2008050405",2,"B",24.3,46.5,7.9,30.2,6.6,NA
"17818","CKM2008050405",3,"B",24.3,46.5,7.9,30.2,6.4,NA
"17819","CKM2008050405",3.3,"B",24.3,46.5,7.9,30.2,6.2,NA
"17820","CKM2008050406",0.2,"B",25.6,29.6,7.8,18.3,7,NA
"17821","CKM2008050406",0.5,"B",25.6,29.6,7.8,18.3,6.8,NA
"17822","CKM2008050407",0.2,"B",25.3,19.6,7.8,13,6.6,NA
"17823","CKM2008050407",0.5,"B",25.3,25.9,7.6,15.7,5.7,NA
"17824","CKM2008050408",0.2,"B",25.8,23.1,7.9,13.9,6.8,NA
"17825","CKM2008050408",1,"B",25.6,24.2,7.8,14.7,6.8,NA
"17826","CKM2008050408",2,"B",25.6,24.4,7.7,14.8,6.7,NA
"17827","CKM2008050408",3,"B",25.6,24.8,7.9,15.1,6.7,NA
"17828","CKM2008050408",4,"B",25.7,32,7.9,19.9,6.5,NA
"17829","CKM2008050408",5,"B",25.7,33.6,8,21,6.7,NA
"17830","CKM2008050408",5.2,"B",25.7,33.6,8,21,6.6,NA
"17831","CKM2008050409",0.2,"B",26,25.8,7.9,15.7,7,NA
"17832","CKM2008050409",1,"B",25.9,30.2,7.8,18.8,7,NA
"17833","CKM2008050409",2,"B",26,33.7,8,21.1,7,NA
"17834","CKM2008050409",3,"B",26,33.9,8,21.3,7,NA
"17835","CKM2008050409",3.7,"B",26,34,7.9,21.3,6.9,NA
"17836","CKM2008050410",0.2,"B",25.9,6.7,7.7,3.4,6.1,NA
"17837","CKM2008050410",1,"B",24.6,22,7.6,13.3,5.6,NA
"17838","CKM2008050410",1.2,"B",24.5,21.9,7.6,13.2,5.4,NA
"17839","CKM2008050411",0.2,"B",25.4,12.5,7.8,7.2,6.5,NA
"17840","CKM2008050411",1,"B",25.4,14.5,7.7,8.4,6.5,NA
"17841","CKM2008050411",2,"B",25.2,18.4,7.7,10.8,6.4,NA
"17842","CKM2008050411",3,"B",25.3,20,7.7,11.9,6.3,NA
"17843","CKM2008050411",3.3,"B",25.3,20.1,7.7,12,6.3,NA
"17844","CKM2008050501",0.2,"B",23.2,8.9,7.7,5,6.7,NA
"17845","CKM2008050501",0.3,"B",23.2,8.9,7.7,5,6.6,NA
"17846","CKM2008050502",0.2,"B",23.1,32.4,7.8,20.2,7.4,NA
"17847","CKM2008050502",0.8,"B",23,32.4,7.8,20.2,7.4,NA
"17848","CKM2008050503",0.2,"B",23.4,30.5,7.7,18.9,8.2,NA
"17849","CKM2008050503",0.7,"B",23.3,30.4,7.8,18.9,8.4,NA
"17850","CKM2008050504",0.2,"B",24.5,28.8,7.7,17.8,7.7,NA
"17851","CKM2008050504",0.9,"B",24.2,28.8,7.7,17.8,7.9,NA
"17852","CKM2008050505",0.2,"B",24.1,24.6,7.6,15,7.5,NA
"17853","CKM2008050506",0.2,"B",24.4,25.5,7.3,15.6,6.1,NA
"17854","CKM2008050506",0.4,"B",24.3,25.5,7.3,15.6,6,NA
"17855","CKM2008050507",0.2,"B",24.7,22.9,7.8,13.8,8.2,NA
"17856","CKM2008050507",0.4,"B",24.6,23,7.8,13.9,8.2,NA
"17857","CKM2008050508",0.2,"B",24.7,21.2,7.8,12.7,7.8,NA
"17858","CKM2008050508",0.9,"B",24.3,25,7.8,15.3,7.8,NA
"17859","CKM2008050509",0.2,"B",24.7,26.1,8,16,8.2,NA
"17860","CKM2008050509",1,"B",25.5,36.3,8,22.9,7.7,NA
"17861","CKM2008050509",1.1,"B",25.5,36.3,8,22.9,7.7,NA
"17862","CKM2008050510",0.2,"B",26.6,14.6,8,8.4,8.2,NA
"17863","CKM2008050510",1,"B",24.1,30.4,7.8,18.9,7.8,NA
"17864","CKM2008050510",1.3,"B",24.1,30.9,7.8,19.2,7.4,NA
"17865","CKM2008050511",0.2,"B",26.9,13.1,8,7.5,8,NA
"17866","CKM2008050511",0.5,"B",26.9,13.2,8,7.6,8,NA
"17867","CKM2008050512",0.2,"B",26.7,16.3,8.1,9.5,8.3,NA
"17868","CKM2008050512",0.9,"B",24.5,29.3,8,18.2,8.1,NA
"17869","CKM2008050601",0.2,"B",24.4,46.5,7.9,30.2,6.4,NA
"17870","CKM2008050601",0.7,"B",24.6,48.3,7.8,31.5,6.1,NA
"17871","CKM2008050602",0.2,"B",24.3,44.8,7.9,28.9,6.4,NA
"17872","CKM2008050602",0.9,"B",24.3,44.8,7.9,28.9,6.4,NA
"17873","CKM2008050603",0.2,"B",24.6,46.3,7.7,30,7.2,NA
"17874","CKM2008050603",0.8,"B",24.6,46.3,7.6,30,7,NA
"17875","CKM2008050604",0.2,"B",25.1,50.5,7.9,33.1,6.9,NA
"17876","CKM2008050604",0.6,"B",25.1,50.5,7.9,33.1,6.9,NA
"17877","CKM2008050605",0.2,"B",25.4,49.6,7.9,32.4,7.9,NA
"17878","CKM2008050605",0.7,"B",25.4,49.6,7.9,32.5,8,NA
"17879","CKM2008050606",0.2,"B",26.1,48.9,7.7,31.9,7.8,NA
"17880","CKM2008050606",1,"B",25.5,49.4,7.7,32.3,8.1,NA
"17881","CKM2008050606",1.2,"B",25.5,49.4,7.7,32.3,8.1,NA
"17882","CKM2008050607",0.2,"B",26.5,45.4,7.7,29.4,7.5,NA
"17883","CKM2008050607",1.1,"B",25.6,48.3,7.6,31.5,7.1,NA
"17884","CKM2008050701",0.2,"B",24.5,8.2,7.6,4.6,7.8,NA
"17885","CKM2008050701",0.5,"B",24.5,8.3,7.6,4.6,6.7,NA
"17886","CKM2008050702",0.2,"B",24.2,6.6,7.6,3.6,6.3,NA
"17887","CKM2008050702",0.9,"B",24,7,7.5,3.8,6.1,NA
"17888","CKM2008050703",0.2,"B",24.8,0.7,7.6,0.3,6.2,NA
"17889","CKM2008050703",0.6,"B",24.8,0.7,7.6,0.3,6.2,NA
"17890","CKM2008050704",0.2,"B",24.7,0.3,7.7,0.2,6.1,NA
"17891","CKM2008050704",0.5,"B",24.7,0.3,7.6,0.2,6,NA
"17892","CKM2008050705",0.2,"B",24.7,0.3,7.6,0.2,5.9,NA
"17893","CKM2008050705",1,"B",24.6,0.3,7.6,0.2,5.9,NA
"17894","CKM2008050705",2,"B",24.5,0.3,7.5,0.2,5.8,NA
"17895","CKM2008050705",3,"B",24.5,0.3,7.5,0.2,5.8,NA
"17896","CKM2008050705",4,"B",24.5,0.3,7.5,0.2,5.8,NA
"17897","CKM2008050705",4.9,"B",24.5,0.3,7.5,0.2,5.8,NA
"17898","CKM2008050706",0.2,"B",25,0.3,7.6,0.2,6,NA
