"","Reference","Depth","Beg_end","Temperature","Conductivity","pH","Salinity","DissolvedO2","Flag"
"1643","CKM1998100603",0.4,"B",28.2,42.6,8.3,27.4,6.5,NA
"1644","CKM1998100604",0.4,"B",28.2,43.7,8.3,28.2,6.8,NA
"1645","CKM1998100605",0.3,"B",30,43,8.6,27.7,10.1,NA
"1646","CKM1998100606",0.4,"B",29.3,40.5,8.3,25.9,6.5,NA
"1647","CKM1998100801",0.2,"B",26.1,0.2,7.1,0.1,4.1,NA
"1648","CKM1998100802",0.5,"B",28.6,42.4,8.3,27.3,5.8,NA
"1649","CKM1998100803",0.6,"B",28.6,26.2,8.1,16,6.5,NA
"1650","CKM1998100804",0.8,"B",28.2,0.4,7.3,0.2,4.1,NA
"1651","CKM1998100805",0.4,"B",27.5,0.3,7.3,0.1,3.9,NA
"1652","CKM1998100806",0.6,"B",29.4,28,8,17.2,5.1,NA
"1653","CKM1998100807",0.4,"B",30.6,20.5,8.2,12.2,8.4,NA
"1654","CKM1998101201",0.5,"B",26.5,44.3,8.4,28.7,5.3,NA
"1655","CKM1998101202",0.5,"B",26.2,41.5,8.3,26.7,4.3,NA
"1656","CKM1998101203",0.4,"B",27.4,41.3,8.4,26.5,5.4,NA
"1657","CKM1998101301",0.5,"B",28.1,37.6,8.1,23.7,2.9,NA
"1658","CKM1998101302",0.5,"B",26.8,33.9,8.1,21.3,3.9,NA
"1659","CKM1998101303",0.3,"B",26.8,24.7,8,15,4.4,NA
"1660","CKM1998101304",0.3,"B",28.7,24.4,7.9,14.8,3.2,NA
"1661","CKM1998101305",0.2,"B",27,16.1,7.9,10.5,2.8,NA
"1662","CKM1998101305",2,"B",27.6,34.3,7.9,21.3,0.5,NA
"1663","CKM1998101401",0.6,"B",26.5,47,8.5,30.6,5.8,NA
"1664","CKM1998101402",0.6,"B",26.3,46.4,8.7,30.2,6.3,NA
"1665","CKM1998101403",0.3,"B",26.6,40.4,8.3,25.8,5.6,NA
"1666","CKM1998101404",0.3,"B",27.9,40.5,8.2,25.9,4.9,NA
"1667","CKM1998101405",0.3,"B",28.6,41.9,8.6,26.8,6.9,NA
"1668","CKM1998101406",0.3,"B",28.5,46.4,8.7,30.2,7.3,NA
"1669","CKM1998101407",0.2,"B",28.5,33.5,8.7,21,7.3,NA
"1670","CKM1998101901",0.3,"B",23.5,2,7.8,1.1,4.8,NA
"1671","CKM1998101902",0.9,"B",23.2,1.5,7.8,0.8,5.1,NA
"1672","CKM1998101903",0.6,"B",23.8,5.4,7.6,3,4.1,NA
"1673","CKM1998101904",0.8,"B",23.6,0.6,7.8,0.3,4.8,NA
"1674","CKM1998101905",0.5,"B",24.3,12.9,7.8,7.4,4.2,NA
"1675","CKM1998101906",0.5,"B",24.8,20.3,7.8,12.1,3.6,NA
"1676","CKM1998101907",0.4,"B",25.6,18,7.8,11.5,3.2,NA
"1677","CKM1998101908",0.6,"B",25,36.1,8.1,22.8,4.1,NA
"1678","CKM1998102001",0.4,"B",24.9,43.6,8.4,28.1,5.2,NA
"1679","CKM1998102002",0.2,"B",24.5,44.2,8.4,28.2,6.3,NA
"1680","CKM1998102003",0.3,"B",25.4,44.3,8.5,28.6,6.3,NA
"1681","CKM1998102004",0.6,"B",26.1,43.2,8.6,27.8,6.8,NA
"1682","CKM1998110901",0.3,"B",19.9,46,8.1,29.9,7.6,NA
"1683","CKM1998110902",0.2,"B",19.9,45.9,8.4,29.8,7.9,NA
"1684","CKM1998110903",0.4,"B",19.9,45.7,8.4,29.7,7.9,NA
"1685","CKM1998110904",0.4,"B",19.7,46.4,8.4,30.1,7.6,NA
"1686","CKM1998110905",0.4,"B",19.8,46.8,8.3,30.5,7.8,NA
"1687","CKM1998110906",0.3,"B",19.8,46.8,8.4,30.5,7.8,NA
"1688","CKM1998110907",0.5,"B",20.8,35.7,8.7,22.5,10.6,NA
"1689","CKM1998110908",0.2,"B",23.3,35,8.7,22.1,11.9,NA
"1690","CKM1998110909",0.2,"B",23,37.8,8.7,24,11.2,NA
"1691","CKM1998110910",0.2,"B",24.4,39.1,8.7,24.9,11.7,NA
"1692","CKM1998110911",0.2,"B",26.9,42.8,8.5,27.6,10.1,NA
"1693","CKM1998110912",0.2,"B",24.6,43.9,8.4,28.4,9.2,NA
"1694","CKM1998111001",0.6,"B",20.8,44.5,8.4,28.8,7.8,NA
"1695","CKM1998111002",0.9,"B",20.7,43.2,8.4,27.9,7.4,NA
